{x = -1496.95, y = 127.74, z = 55.66, h = 152.5, r = 1.0}, 
{x = -1502.71, y = 117.9, z = 55.66, h = 255.5, r = 1.0}, 
{x = -1506.51, y = 104.51, z = 52.24, h = 225.5, r = 1.0}, 
{x = -1502.01, y = 118.67, z = 55.66, h = 238.5, r = 1.0}, 
{x = -1506.43, y = 118.67, z = 55.66, h = 117.5, r = 1.0}, 
{x = -1505.94, y = 118.24, z = 55.66, h = 69.5, r = 1.0}, 
{x = -1506.82, y = 119.07, z = 55.66, h = 51.5, r = 1.0}, 
{x = -1511.01, y = 116.76, z = 55.66, h = 98.5, r = 1.0}, 
{x = -1504.9, y = 111.14, z = 55.66, h = 28.5, r = 1.0}, 
{x = -1501.27, y = 103.31, z = 55.65, h = 230.5, r = 1.0}, 
{x = -1519.86, y = 123.91, z = 55.66, h = 132.5, r = 1.0}, 
{x = -1519.47, y = 123.54, z = 55.66, h = 132.5, r = 1.0}, 
{x = -1520.27, y = 124.22, z = 55.66, h = 86.5, r = 1.0}, 
{x = -1522.27, y = 142.72, z = 55.66, h = 304.5, r = 1.0}, 
{x = -1611.0, y = 76.569999999999, z = 62.57, h = 229.5, r = 1.0}, 
{x = -1611.96, y = 77.97, z = 61.04, h = 173.5, r = 1.0}, 
{x = -1613.91, y = 78.46, z = 62.46, h = 174.5, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = -1613.67, y = 78.17, z = 62.41, h = 187.5, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = -1471.2, y = 68.52, z = 53.75, h = 194.5, r = 1.0}, 
{x = 0.01, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = 0.06, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
{x = 0.0, y = 0.0, z = 0.0, h = 0.0, r = 1.0}, 
